City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Porto Novo,BJ,85.82,Clear : clear sky,6.4965,2.6036,Tour Eiffel Hotel Benin
483,Caravelas,BR,81.55,Clouds : scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
484,Majenang,ID,75.56,Clouds : overcast clouds,-7.2975,108.7642,Strum Aki Majenang
492,Praia,CV,82.94,Clear : clear sky,14.9215,-23.5087,LT Aparthotel
493,Acajutla,SV,88.81,Clear : clear sky,13.5928,-89.8275,Laureles
503,Jaciara,BR,86.68,Clouds : broken clouds,-15.9653,-54.9683,Taba Hotel
505,Wewak,PG,78.69,Clouds : overcast clouds,-3.5534,143.6268,In Wewak Boutique Hotel
510,Aguia Branca,BR,79.25,Clouds : overcast clouds,-18.9831,-40.7403,Hotel Universal
512,Sao Filipe,CV,75.0,Clear : clear sky,14.8961,-24.4956,Hotel Xaguate
515,General Pico,AR,75.27,Clouds : broken clouds,-35.6566,-63.7568,Euskadi Hotel
518,Baillif,GP,78.64,Clouds : scattered clouds,16.0202,-61.7463,Hôtel Saint-Georges
519,Nisia Floresta,BR,88.61,Clouds : scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
523,Nuevitas,CU,85.44,Clear : clear sky,21.5453,-77.2644,Hotel Caonaba
526,San Felipe,VE,88.75,Clear : clear sky,10.3399,-68.7425,Posada Llovizna Rodríguez
527,Ta Khmau,KH,80.65,Clouds : scattered clouds,11.4833,104.95,Takhmao Good Health Hotel
528,Nargana,PA,81.54,Clouds : broken clouds,9.4428,-78.5906,Dubbir
538,Kendari,ID,76.19,Clouds : broken clouds,-3.945,122.4989,Hotel Wixel
542,Cristalina,BR,77.09,Clouds : overcast clouds,-16.7686,-47.6136,HOTEL TOPAZIO
555,Eravur,LK,75.99,Clouds : few clouds,7.7733,81.6095,Farhan KING House
557,Panacan,PH,78.31,Clouds : overcast clouds,9.2463,118.4082,Mom's Place Resort
565,Oriximina,BR,87.53,Clouds : broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
572,Mabaruma,GY,81.37,Clouds : broken clouds,8.2,-59.7833,Monty Brooms Guest House
582,Kousseri,CM,78.76,Dust : dust,12.0769,15.0306,Le Pilotis
583,Puerto Baquerizo Moreno,EC,81.59,Clouds : scattered clouds,-0.9,-89.6,Hotel los Algarrobos
584,Gurupa,BR,81.88,Clouds : overcast clouds,-1.405,-51.64,Hotel Vitória
585,Acarau,BR,84.11,Clouds : overcast clouds,-2.8856,-40.12,castelo pizzaria
591,Namatanai,PG,79.74,Clouds : broken clouds,-3.6667,152.4333,Seagulls Inn Namatani
596,Acapulco,MX,82.22,Clear : clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
598,Pak Phanang,TH,79.07,Clouds : broken clouds,8.3511,100.202,Green Park Inn Hotel
609,Fare,PF,80.8,Clear : clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
615,Sao Joao Da Barra,BR,87.89,Clouds : broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
620,Bathsheba,BB,83.01,Clouds : few clouds,13.2167,-59.5167,Atlantis Hotel
621,Tiarei,PF,82.42,Clear : clear sky,-17.5333,-149.3333,Le Rocher de Tahiti
624,Itapaci,BR,84.88,Clouds : broken clouds,-14.9508,-49.5494,Gold Pallace Hotel
625,Augusto Correa,BR,79.21,Clouds : overcast clouds,-1.0217,-46.635,Fazenda Bacuri
